不重複,,Date Created,Platform,Model #,Accessories,Brand,Title,SKU,Product URL,Image URL,Exclude Update,20260101
不重複,,2026-01-04-01,Atika,HT 315,-,Atika,ATIKA HT 315 Tischkreissäge Kreissäge Säge +...,301958,https://www.altrad-onlineshop.eu/de/neuware/atika/tischkreissaegen/6557/atika-ht-315-tischkreissaege-kreissaege-saege-ersatzsaegeblatt-230v-2000w?c=0,https://www.altrad-onlineshop.eu/media/image/30/30/bb/301920G4p5SyQGpphjl_200x200.jpg,N,339.99
不重複,,2026-01-04-01,Atika,HT 315,with saw blade x1,Atika,ATIKA HT 315 Tischkreissäge Kreissäge Säge +...,301928,https://www.altrad-onlineshop.eu/de/neuware/atika/tischkreissaegen/6556/atika-ht-315-tischkreissaege-kreissaege-saege-ersatzsaegeblatt-230v-3000w,https://www.altrad-onlineshop.eu/media/image/04/a6/8b/3019202JjLS8gUq0WTK_200x200.jpg,N,399.99
不重複,,2026-01-04-01,Atika,HT 315,-,Atika,ATIKA HT 315 Tischkreissäge Tischsäge Kreissäge...,301956,https://www.altrad-onlineshop.eu/de/2a-ware/6075/atika-ht-315-tischkreissaege-tischsaege-kreissaege-montiert-230v-2000w-2a-ware?c=0,https://www.altrad-onlineshop.eu/media/image/a0/b4/46/301956ZtF5LNQMPDPdp_200x200.jpg,N,299
不重複,,2026-01-04-01,Atika,HT 315,-,Atika,ATIKA HT 315 Tischkreissäge Tischsäge Kreissäge...,301920,https://www.altrad-onlineshop.eu/de/2a-ware/6035/atika-ht-315-tischkreissaege-tischsaege-kreissaege-230v-3000w-2a-ware?c=0,https://www.altrad-onlineshop.eu/media/image/44/b5/95/AT301940_e1ba674690154077ae04f3f42c08a08dnnGxu3ktTnCfV_200x200.jpg,N,249.9
不重複,,2026-01-04-01,Atika,HT 315,-,Atika,ATIKA HT 315 Tischkreissäge Kreissäge | 230V |...,301922,https://www.altrad-onlineshop.eu/de/2a-ware/6518/atika-ht-315-tischkreissaege-kreissaege-230v-3-0kw-vormontiert-2a-ware?c=0,https://www.altrad-onlineshop.eu/media/image/23/23/41/301910-301940_-_HT315_-_Bild__0_9uFxOYcm1uE8E_200x200.jpg,N,249
不重複,,2026-01-04-01,Atika,HT 315,-,Atika,ATIKA HT 315 Tischkreissäge Tischsäge Kreissäge...,301940,https://www.altrad-onlineshop.eu/de/2a-ware/6788/atika-ht-315-tischkreissaege-tischsaege-kreissaege-230v-2000w-2a-ware?c=0,https://www.altrad-onlineshop.eu/media/image/c8/68/9f/301910-301940_-_HT315_-_Bild__0_sCO8Ey1xA7zb0_200x200.jpg,N,239.99
不重複,,2026-01-04-01,Atika,LE-CPHL450 TP-2,-,Atika,LESCHA LE-CPHL450 TP-2 Baukreissäge...,303223,https://www.altrad-onlineshop.eu/de/detail/index/sArticle/7250,https://www.altrad-onlineshop.eu/media/image/18/24/d6/303223_-_Lescha_CPHL_450_TP-2_-_Baukreissge_-_Bild_01_200x200.jpg,N,1999
不重複,,2026-01-04-01,Atika,LE-CPHL500,-,Atika,LESCHA LE-CPHL500 Baukreissäge Tischkreissäge...,303232,https://www.altrad-onlineshop.eu/de/2a-ware/6312/lescha-le-cphl500-baukreissaege-tischkreissaege-kreissaege-400v-6100w-2a-ware,https://www.altrad-onlineshop.eu/media/image/63/a0/46/Lescha_CPHL_200x200.jpg,N,2499
不重複,,2026-01-04-01,Atika,LESCHA TSL 315,-,Atika,LESCHA TSL 315 Tischkreissäge Tischsäge...,301996,https://www.altrad-onlineshop.eu/de/detail/index/sArticle/7196,https://www.altrad-onlineshop.eu/media/image/41/30/62/301996-997_-_TSL315_-_Fahrwerk__Schiebeschlitten_-_007CFJdBfhcEoeB_200x200.jpg,N,399
不重複,,2026-01-04-01,R-Hornbach,T 250 Eco-3,with saw blade x1,Atika,Tischkreissäge Atika T 250 Eco-3 inkl. Sägeblatt Ø250 mm,10317183,https://www.hornbach.de/p/tischkreissaege-atika-t-250-eco-3-inkl-saegeblatt-o250-mm/10317183/,https://media.hornbach.de/hb/packshot/as.21852357.jpg?dvid=8,N,129
不重複,,2026-01-04-01,Atika,T 250 N-3,-,Atika,ATIKA T 250 N-3 Tischkreissäge Tischsäge...,302607,https://www.altrad-onlineshop.eu/de/neuware/atika/tischkreissaegen/6899/atika-t-250-n-3-tischkreissaege-tischsaege-kreissaege-holzsaege-230v-2000w?c=0,https://www.altrad-onlineshop.eu/media/image/a8/ee/53/302607_-_T_250_N-3_-_Bild_01A5YpETJhmZnbW_200x200.jpg,N,179.1
不重複,,2026-01-04-01,R-Hornbach,T 250 N-3,-,Atika,Tischkreissäge Atika T 250 N-3,10272419,https://www.hornbach.de/p/tischkreissaege-atika-t-250-n-3/10272419/,https://media.hornbach.de/hb/packshot/as.6745668.jpg?dvid=8,N,179
不重複,,2026-01-04-01,Atika,TSL 315,-,Atika,LESCHA TSL 315 Tischkreissäge Tischsäge...,301980,https://www.altrad-onlineshop.eu/de/detail/index/sArticle/7314/sCategory/0,https://www.altrad-onlineshop.eu/media/image/76/de/01/301980-301981_-_TSL_315__TP__-___1_a93ji5y00T0Ll_200x200.jpg,N,349
不重複,,2026-01-04-01,R-Hornbach,BCS-500PRO,with saw blade x1,BAMATO,BAMATO Tischkreissäge BCS-500PRO | inklusive 500mm HM Sägeblatt mit 44 Zähnen | Querschneidvorrichtung klappbar und winkelverstellbar | Baukreissäge Tischsäge,12604334,https://www.hornbach.de/p/bamato-tischkreissaege-bcs-500pro-inklusive-500mm-hm-saegeblatt-mit-44-zaehnen-querschneidvorrichtung-klappbar-und-winkelverstellbar-baukreissaege-tischsaege/12604334/,https://media.hornbach.de/mp/packshot/c5cf11b3-6d2e-4b88-ba52-7699fd674776?size=1400,N,875
不重複,,2026-01-04-01,R-Hornbach,BFKS-2000,with saw blade x1,BAMATO,BAMATO Formatkreissäge BFKS-2000 | inkl. XXL-Lieferumfang | Serienmäßiger Vorritzeinheit | Stabiler Parallelanschlag | Schnittbreiten bis 1220mm | Formatkreissäge mit Schiebeschlitten,12611799,https://www.hornbach.de/p/bamato-formatkreissaege-bfks-2000-inkl-xxl-lieferumfang-serienmaessiger-vorritzeinheit-stabiler-parallelanschlag-schnittbreiten-bis-1220mm-formatkreissaege-mit-schiebeschlitten/12611799/,https://media.hornbach.de/mp/packshot/d98d3a0e-dc56-402c-a0d3-c932bd8d6828?size=1400,N,2699
不重複,,2026-01-04-01,R-Hornbach,BMK5-1300,-,BAMATO,"BAMATO BMK5-1300 – Holzbearbeitungsmaschine 5-in-1 | Kombigerät für Sägen, Fräsen, Hobeln | Perfekt für Heimwerker & Profis",12612331,https://www.hornbach.de/p/bamato-bmk5-1300-holzbearbeitungsmaschine-5-in-1-kombigeraet-fuer-saegen-fraesen-hobeln-perfekt-fuer-heimwerker-profis/12612331/,https://media.hornbach.de/mp/packshot/83456a89-be68-4498-a8b5-c87f8999f1d9?size=1400,N,3499
不重複,,2026-01-04-01,R-Hornbach,BTS-250PRO,"with saw blade x1, battery x1, stand x1",BAMATO,BAMATO Tischkreissäge BTS-250PRO | inklusive XXL Lieferumfang | stabiler Parallelanschlag | schwenkbares Sägeblatt | Tischverbreiterung | Kreissäge Baukreissäge | 400V,12611797,https://www.hornbach.de/p/bamato-tischkreissaege-bts-250pro-inklusive-xxl-lieferumfang-stabiler-parallelanschlag-schwenkbares-saegeblatt-tischverbreiterung-kreissaege-baukreissaege-400v/12611797/,https://media.hornbach.de/mp/packshot/3856d45e-23b6-416c-afc9-a2a213d4d2fc?size=1400,N,1099
