預覽圖,建立時間,平台,機型,配件,品牌,標題,SKU,網址,預覽圖片網址,排除更新,20251229,20251225
,2025-12-25-01,R-Conrad,GCM 10 GDJ,with saw blade x1,Bosch,Bosch Professional GCM 10 GDJ Professional Kapp- und Gehrungssäge 254 mm 1800 W,2301634,https://www.conrad.de/de/p/bosch-professional-gcm-10-gdj-professional-kapp-und-gehrungssaege-254-mm-1800-w-2301634.html,https://asset.conrad.com/media10/isa/160267/c1/-/de/002301634PI01/bosch-professional-gcm-10-gdj-professional-kapp-und-gehrungssaege-254-mm-1800-w.jpg?x=300&y=300,N,774.78,701.68
,2025-12-25-01,R-OBI,GCM 10 GDJ,with saw blade x1,Bosch,Bosch Professional Kapp- und Gehrungssäge GCM 10 GDJ 1.800 W mit Kreissägeblatt,1825587,https://www.obi.de/p/1825587/bosch-professional-kapp-und-gehrungssaege-gcm-10-gdj-1-800-w-mit-kreissaegeblatt,https://asset.conrad.com/media10/isa/160267/c1/-/de/002301634PI01/bosch-professional-gcm-10-gdj-professional-kapp-und-gehrungssaege-254-mm-1800-w.jpg?x=300&y=300,N,759.99,759.99
,2025-12-25-01,R-GoTools,GCM 10 GDJ,with saw blade x1,Bosch,Bosch Kapp- und Gehrungssäge GCM 10 GDJ Professional,124049,https://www.gotools.de/marken/bosch/elektrowerkzeugfuerprofis/stationaergeraete-tische/stationaergeraete-1/bosch-kapp-und-gehrungssaege-gcm-10-gdj-professional_124049_15047,https://asset.conrad.com/media10/isa/160267/c1/-/de/002301634PI01/bosch-professional-gcm-10-gdj-professional-kapp-und-gehrungssaege-254-mm-1800-w.jpg?x=300&y=300,N,779.99,779.99
,2025-12-25-01,R-Toolineo,GCM 10 GDJ,with saw blade x1,Bosch,Bosch - Kapp- und Gehrungssäge GCM 10 GDJ (0601B27000),V00000003293673,https://toolineo.de/kapp-und-gehrungssaege-gcm-10-gdj-0601b27000-v00000003293673-prdV00000003293673,https://asset.conrad.com/media10/isa/160267/c1/-/de/002301634PI01/bosch-professional-gcm-10-gdj-professional-kapp-und-gehrungssaege-254-mm-1800-w.jpg?x=300&y=300,N,874.98,874.98
,2025-12-25-01,Bosch,GCM 10 GDJ,with saw blade x1,Bosch,GCM 10 GDJ,0601B27000,https://www.bosch-professional.com/de/de/products/gcm-10-gdj-0601B27000,https://asset.conrad.com/media10/isa/160267/c1/-/de/002301634PI01/bosch-professional-gcm-10-gdj-professional-kapp-und-gehrungssaege-254-mm-1800-w.jpg?x=300&y=300,N,1014,1014
,2025-12-25-01,R-Contorion,GCM 10 GDJ,with saw blade x1,Bosch,Bosch Kapp- und Gehrungssäge GCM 10 GDJ,92336587,https://www.contorion.de/p/bosch-kapp-und-gehrungssaege-gcm-10-gdj-92336587,https://asset.conrad.com/media10/isa/160267/c1/-/de/002301634PI01/bosch-professional-gcm-10-gdj-professional-kapp-und-gehrungssaege-254-mm-1800-w.jpg?x=300&y=300,N,858.18,858.18
,2025-12-25-01,R-Bauhaus,GCM 12 GDL,with saw blade x1,Bosch,Kappsäge GCM 12 GDL,26097743,https://www.bauhaus.at/kapp-gehrungssaegen/bosch-professional-kappsaege-gcm-12-gdl/p/26097743,https://media.cdn.bauhaus/m/3384955/15.jpg,N,799,799
,2025-12-25-01,R-Hornbach,GCM 12 GDL,with saw blade x1,Bosch,Kapp- und Gehrungssäge Bosch Professional GCM 12 GDL inkl. Spannzange und 1 x Kreissägeblatt,6348695,https://www.hornbach.de/p/kapp-und-gehrungssaege-bosch-professional-gcm-12-gdl-inkl-spannzange-und-1-x-kreissaegeblatt/6348695/,https://media.cdn.bauhaus/m/3384955/15.jpg,N,829,829
,2025-12-25-01,R-OBI,GCM 12 GDL,with saw blade x1,Bosch,Bosch Professional Kapp- und Gehrungssäge GCM 12 GDL 2.000 W mit Kreissägeblatt,2102358,https://www.obi.de/p/2102358/bosch-professional-kapp-und-gehrungssaege-gcm-12-gdl-2-000-w-mit-kreissaegeblatt,https://media.cdn.bauhaus/m/3384955/15.jpg,N,829,829
,2025-12-25-01,R-toom,GCM 12 GDL,with saw blade x1,Bosch,Kapp- und Gehrungssäge 'GCM 12 GDL Professional' 2000 W,1501177,https://toom.de/p/kapp-und-gehrungssaege-gcm-12-gdl-professional-2000-w/1501177,https://media.cdn.bauhaus/m/3384955/15.jpg,N,879,879
,2025-12-25-01,R-Conrad,GCM 12 GDL,with saw blade x1,Bosch,Bosch Professional GCM 12 GDL Kapp- und Gehrungssäge 305 mm 30 mm 2000 W,514487,https://www.conrad.de/de/p/bosch-professional-gcm-12-gdl-kapp-und-gehrungssaege-305-mm-30-mm-2000-w-514487.html,https://media.cdn.bauhaus/m/3384955/15.jpg,N,1010.45,1010.45
,2025-12-25-01,R-Toolineo,GCM 12 GDL,with saw blade x1,Bosch,Bosch - Kapp- und Gehrungssäge GCM 12 GDL,V00000000083633,https://toolineo.de/elektrowerkzeuge/elektrosaegen-elektroscheren/kappsaege-gehrungssaege/kapp-und-gehrungssaege-gcm-12-gdl-0601b23600-v00000000083633-prdV00000000083633-ctg28313.28547.32165,https://media.cdn.bauhaus/m/3384955/15.jpg,N,1135,1135
,2025-12-25-01,Bosch,GCM 12 GDL,with saw blade x1,Bosch,GCM 12 GDL,0601B23600,https://www.bosch-professional.com/de/de/products/gcm-12-gdl-0601B23600,https://media.cdn.bauhaus/m/3384955/15.jpg,N,1289,1289
,2025-12-25-01,R-Contorion,GCM 12 GDL,with saw blade x1,Bosch,Bosch Kapp- und Gehrungssäge GCM 12 GDL,10004961,https://www.contorion.de/p/bosch-kapp-und-gehrungssaege-gcm-12-gdl-10004961,https://media.cdn.bauhaus/m/3384955/15.jpg,N,1124.99,1124.99
,2025-12-25-01,R-GoTools,GCM 12 GDL,-,Bosch,"Bosch Kapp- und Gehrungssäge, Paneelsäge GCM12GDL Professional 305mm",113385,https://www.gotools.de/marken/bosch/elektrowerkzeugfuerprofis/stationaergeraete-tische/stationaergeraete-1/bosch-kapp-und-gehrungssaege-paneelsaege-gcm12gdl-professional-305mm_113385_4374,https://cdn02.plentymarkets.com/qddd911h1zyd/item/images/113385/middle/IMG-RD-376163-117.jpg.avif,N,939.99,939.99
